,Date,股票代码,Open,Close,High,Low,Volume,成交额,振幅,Change,Amount,Turnover,Adj Close
441,2023-06-19,601728,5.48,5.6,5.63,5.35,3548211,2127193150.0,5.12,2.38,0.13,1.81,5.6
442,2023-06-20,601728,5.57,5.57,5.69,5.51,2280440,1385910640.0,3.21,-0.54,-0.03,1.16,5.57
443,2023-06-21,601728,5.52,5.18,5.52,5.16,3951482,2287624789.0,6.46,-7.0,-0.39,2.02,5.18
444,2023-06-26,601728,5.09,5.16,5.29,5.04,2102654,1193293331.0,4.83,-0.39,-0.02,1.07,5.16
445,2023-06-27,601728,5.17,5.25,5.35,5.12,2459019,1410722994.0,4.46,1.74,0.09,1.26,5.25
446,2023-06-28,601728,5.22,5.13,5.24,5.08,1923475,1082205289.0,3.05,-2.29,-0.12,0.98,5.13
447,2023-06-29,601728,5.11,5.18,5.21,5.11,1509148,853155214.0,1.95,0.97,0.05,0.77,5.18
448,2023-06-30,601728,5.17,5.14,5.23,5.11,1866263,1051356886.0,2.32,-0.77,-0.04,0.95,5.14
449,2023-07-03,601728,5.15,5.25,5.28,5.09,2558169,1453669202.0,3.7,2.14,0.11,1.31,5.25
450,2023-07-04,601728,5.23,5.31,5.34,5.22,1747588,1009417891.0,2.29,1.14,0.06,0.89,5.31
451,2023-07-05,601728,5.34,5.3,5.39,5.27,1281821,744017451.0,2.26,-0.19,-0.01,0.65,5.3
452,2023-07-06,601728,5.29,5.3,5.34,5.26,942573,545859504.0,1.51,0.0,0.0,0.48,5.3
453,2023-07-07,601728,5.27,5.24,5.32,5.19,967998,554468201.0,2.45,-1.13,-0.06,0.49,5.24
454,2023-07-10,601728,5.26,5.24,5.3,5.21,744548,427288754.0,1.72,0.0,0.0,0.38,5.24
455,2023-07-11,601728,5.24,5.21,5.25,5.16,1605210,911575205.0,1.72,-0.57,-0.03,0.82,5.21
456,2023-07-12,601728,5.21,4.98,5.22,4.97,2883608,1604485207.0,4.8,-4.41,-0.23,1.47,4.98
457,2023-07-13,601728,5.03,5.08,5.1,4.99,2265001,1254129012.0,2.21,2.01,0.1,1.16,5.08
458,2023-07-14,601728,5.06,5.42,5.53,5.03,4817545,2810519868.0,9.84,6.69,0.34,2.46,5.42
459,2023-07-17,601728,5.36,5.37,5.5,5.31,2270609,1337063722.0,3.51,-0.92,-0.05,1.16,5.37
460,2023-07-18,601728,5.33,5.29,5.39,5.28,1242219,721495302.0,2.05,-1.49,-0.08,0.63,5.29
461,2023-07-19,601728,5.27,5.35,5.36,5.25,1174967,681133742.0,2.08,1.13,0.06,0.6,5.35
462,2023-07-20,601728,5.34,5.26,5.38,5.24,1147514,664173694.0,2.62,-1.68,-0.09,0.59,5.26
463,2023-07-21,601728,5.26,5.26,5.29,5.21,1123112,645046126.0,1.52,0.0,0.0,0.57,5.26
464,2023-07-24,601728,5.24,5.3,5.38,5.2,1156802,670089406.0,3.42,0.76,0.04,0.59,5.3
465,2023-07-25,601728,5.37,5.33,5.43,5.28,1340241,778698171.0,2.83,0.57,0.03,0.68,5.33
466,2023-07-26,601728,5.33,5.22,5.33,5.2,1254305,718977211.0,2.44,-2.06,-0.11,0.64,5.22
467,2023-07-27,601728,5.22,5.13,5.23,5.1,1283273,725318640.0,2.49,-1.72,-0.09,0.66,5.13
468,2023-07-28,601728,5.11,5.33,5.39,5.09,2261036,1303419904.0,5.85,3.9,0.2,1.15,5.33
469,2023-07-31,601728,5.35,5.19,5.42,5.15,2968273,1705439866.0,5.07,-2.63,-0.14,1.52,5.19
470,2023-08-01,601728,5.21,5.24,5.28,5.17,1241708,710529786.0,2.12,0.96,0.05,0.63,5.24
471,2023-08-02,601728,5.23,5.18,5.23,5.16,1063612,602980807.0,1.34,-1.15,-0.06,0.54,5.18
472,2023-08-03,601728,5.15,5.15,5.2,5.11,1359092,766066773.0,1.74,-0.58,-0.03,0.69,5.15
473,2023-08-04,601728,5.17,5.39,5.5,5.16,4250089,2489057715.0,6.6,4.66,0.24,2.17,5.39
474,2023-08-07,601728,5.32,5.29,5.41,5.27,1632656,946380395.0,2.6,-1.86,-0.1,0.83,5.29
475,2023-08-08,601728,5.28,5.31,5.34,5.26,995361,576557015.0,1.51,0.38,0.02,0.51,5.31
476,2023-08-09,601728,5.34,5.25,5.35,5.24,1254556,723283146.0,2.07,-1.13,-0.06,0.64,5.25
477,2023-08-10,601728,5.26,5.36,5.41,5.25,1638405,956982915.0,3.05,2.1,0.11,0.84,5.36
478,2023-08-11,601728,5.35,5.36,5.61,5.34,3661020,2184304745.0,5.04,0.0,0.0,1.87,5.36
479,2023-08-14,601728,5.32,5.51,5.6,5.28,2827958,1685579410.0,5.97,2.8,0.15,1.44,5.51
